Specimen,Drive,f_Hz,EnergyLossPerCycle_J_per_m3,PowerLoss_W_per_m3,Br_T,Hc_A_per_m,dBdH_0,Hmax_A_per_m,Bmax_T,R2_Vx,R2_Vy
Transformer Stampings,C-V1,50.032539158921054,477.59170827214257,23895.12584610197,0.013570664388251937,415.74858051300237,3.25711158378074e-05,2251.074333811169,0.07289724794603422,0.9994528392029425,0.9960001220125216
Transformer Stampings,C-V2,49.99572256754823,262.68501435697544,13133.127100443768,0.0057968538924508305,105.11481434332876,5.4057003784169525e-05,2894.985717978871,0.1587339116274861,0.9995489919995039,0.99793276132326
Transformer Stampings,C-V3,49.95908014490784,299.99602461932227,14987.525437110466,0.006400193566446708,116.81479906036388,5.474177926114123e-05,2995.225834731081,0.1630084766075484,0.9995524670053043,0.997875641971907
Ferrite Rod,C-V1,49.953445745451695,48.684068376067444,2431.936968291746,0.001958756129353868,64.29612871080062,2.9818205769619932e-05,1589.5932398560522,0.04800211279622969,0.9993190214512848,0.9990039702350634
Ferrite Rod,C-V2,49.93232438161617,77.43308730376884,3866.4140331217905,0.0021780622566951657,73.07605065298318,2.9334805321516298e-05,2272.2102849401354,0.06717623196266166,0.9993549029582472,0.9992316815163667
Ferrite Rod,C-V3,49.95629489593129,185.39588747435482,9261.691627161765,0.003846303339052823,84.05248868304253,4.5246595439633337e-05,3080.275997323156,0.13986362436606875,0.9993972636647347,0.9991849660176678
Iron Nail,C-V1,49.94224142534273,538.9405801581306,26915.900568171633,0.021590558629578198,441.7317328672614,4.709294539572519e-05,1596.685676122502,0.07734990369544684,0.9992544526048434,0.9980476444668224
Iron Nail,C-V2,49.96195131650029,1109.7276786227012,55444.16025392028,0.030267256584931485,602.4586310375244,4.7947434213780126e-05,2343.041033898371,0.11684296615198456,0.9994164517335287,0.998432976841758
Iron Nail,C-V3,49.96791740990574,1883.6723987585865,94123.18684848808,0.03920074712599985,763.9770782116376,5.013065522315001e-05,3070.5597296892743,0.15638516963386045,0.9992918193499465,0.9985776424205124
Hacksaw Blade,C-V1,49.947012899562566,482.4655478085915,24097.71293999024,0.038175529399068736,252.02518715713273,0.00014318689086865278,809.2901609884127,0.12268641451068185,0.9995762204833242,0.999578505604033
Hacksaw Blade,C-V2,49.920596089461654,800.8361758422398,39978.21926804954,0.0468879434392407,323.39029627486116,0.00015895063707362778,1091.4502680072164,0.15876932572472616,0.9990686010033777,0.9991135445087065
Hacksaw Blade,C-V3,49.93359258307218,1022.1588776376448,51040.06495112849,0.049568478297712534,381.0760767018036,0.00014298669836641835,1317.2440029783036,0.17170177626190836,0.9982686050564011,0.9972132016420786
