Temperature_C,Vdc_V,Vsc_V
30,2.62,0.65
35,2.59,0.68
40,2.61,0.76
45,2.6,0.8
50,2.58,0.83
55,2.52,1.02
60,2.52,0.77
65,2.59,0.8
70,2.57,0.9
75,2.53,0.9
80,2.49,1.04
85,2.31,1.25
90,2.23,1.27
95,2.15,1.53
100,2.05,1.66
105,1.93,1.84
110,1.91,1.91
112,1.89,
113,1.89,
114,1.88,
115,1.87,
116,1.86,
117,1.84,
118,1.82,
119,1.78,
120,1.76,
121,1.74,
122,1.73,
123,1.72,
124,1.69,
125,1.68,
126,1.65,
127,1.63,
128,1.6,
129,1.56,
130,1.49,
131,1.46,
132,1.42,
133,1.38,
134,1.34,
135,1.3,
136,1.27,
137,1.22,
138,1.18,
139,1.15,
140,1.12,
